"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2020","20.34","20.35","20.38","20.27","15.29K","0.14%"
"08/17/2020","20.32","20.35","20.35","20.31","2.15K","0.07%"
"08/14/2020","20.30","20.29","20.31","20.28","8.94K","0.07%"
"08/13/2020","20.28","20.33","20.33","20.28","31.75K","-0.24%"
"08/12/2020","20.33","20.35","20.38","20.33","4.68K","0.05%"
"08/11/2020","20.32","20.41","20.41","20.32","0.94K","-0.11%"
"08/10/2020","20.35","20.36","20.43","20.34","3.22K","0.10%"
"08/07/2020","20.33","20.38","20.38","20.33","4.40K","-0.32%"
"08/06/2020","20.39","20.39","20.41","20.36","2.91K","0.04%"
"08/05/2020","20.38","20.38","20.41","20.38","1.35K","-0.13%"
"08/04/2020","20.41","20.33","20.51","20.33","5.65K","0.37%"
"08/03/2020","20.33","20.31","20.33","20.28","3.32K","0.33%"
"07/31/2020","20.27","20.30","20.30","20.24","2.57K","0.28%"
"07/30/2020","20.21","20.17","20.22","20.14","1.34K","-0.13%"
"07/29/2020","20.24","20.19","20.24","20.16","4.94K","0.50%"
"07/28/2020","20.14","20.17","20.17","20.14","0.87K","-0.30%"
"07/27/2020","20.20","20.21","20.22","20.18","3.82K","0.08%"
"07/24/2020","20.18","20.20","20.20","20.09","9.12K","-0.16%"
"07/23/2020","20.21","20.22","20.25","20.20","9.25K","0.00%"
"07/22/2020","20.21","20.23","20.28","20.21","7.14K","-0.34%"
"07/21/2020","20.28","20.30","20.30","20.28","12.41K","0.04%"
"07/20/2020","20.28","20.18","20.28","20.15","5.79K","0.64%"
"07/17/2020","20.15","20.13","20.18","20.12","6.73K","-0.08%"
"07/16/2020","20.16","20.07","20.16","20.07","4.58K","-0.25%"
"07/15/2020","20.21","20.16","20.34","20.14","22.09K","0.41%"
"07/14/2020","20.13","20.06","20.13","20.06","4.03K","0.45%"
"07/13/2020","20.04","20.13","20.14","20.04","4.65K","0.00%"
"07/10/2020","20.04","20.06","20.10","20.04","5.67K","0.08%"
"07/09/2020","20.02","20.09","20.09","20.02","0.79K","-0.20%"
"07/08/2020","20.06","20.06","20.07","20.04","3.40K","0.31%"
"07/07/2020","20.00","20.07","20.07","19.99","7.18K","-0.41%"
"07/06/2020","20.08","20.14","20.14","20.03","6.21K","0.29%"
"07/02/2020","20.02","20.05","20.09","20.00","2.15K","-0.03%"
"07/01/2020","20.03","20.05","20.08","20.03","1.10K","0.13%"
"06/30/2020","20.00","19.97","20.00","19.95","5.12K","0.30%"
"06/29/2020","19.94","19.90","19.95","19.90","3.08K","0.00%"
"06/26/2020","19.94","19.88","19.94","19.88","12.04K","0.00%"
"06/25/2020","19.94","19.93","19.95","19.92","2.72K","0.10%"
"06/24/2020","19.92","19.89","19.95","19.87","9.91K","-0.46%"
"06/23/2020","20.01","20.05","20.10","20.01","12.78K","0.15%"
"06/22/2020","19.98","19.99","20.04","19.98","3.20K","0.12%"
"06/19/2020","19.96","20.01","20.01","19.96","2.03K","0.00%"
"06/18/2020","19.95","19.96","20.00","19.93","15.79K","0.18%"
"06/17/2020","19.92","21.59","22.05","19.87","8.09K","-0.41%"
"06/16/2020","20.00","19.97","20.10","19.84","14.01K","0.45%"
"06/15/2020","19.91","19.88","19.92","19.88","16.94K","-0.08%"
"06/12/2020","19.93","19.92","19.97","19.83","49.02K","1.04%"
"06/11/2020","19.72","19.87","19.87","19.72","17.23K","-1.60%"
"06/10/2020","20.04","19.88","20.04","19.88","3.53K","0.54%"
"06/09/2020","19.93","19.88","19.93","19.88","5.87K","-0.32%"
"06/08/2020","20.00","19.85","20.04","19.85","6.92K","0.28%"
"06/05/2020","19.94","20.00","20.00","19.94","1.82K","-0.08%"
"06/04/2020","19.96","19.88","19.96","19.85","2.60K","-0.37%"
"06/03/2020","20.03","20.04","20.06","19.97","6.80K","-0.06%"
"06/02/2020","20.04","20.10","20.10","19.89","21.97K","0.47%"
"06/01/2020","19.95","19.92","19.99","19.91","7.14K","0.41%"
"05/29/2020","19.87","19.81","19.87","19.76","19.83K","0.21%"
"05/28/2020","19.83","19.84","19.84","19.83","0.79K","-0.16%"
"05/27/2020","19.86","19.79","19.88","19.75","45.33K","0.28%"
"05/26/2020","19.80","19.94","19.94","19.79","6.49K","-0.05%"
"05/22/2020","19.81","19.80","19.82","19.79","14.98K","-0.20%"
"05/21/2020","19.85","19.93","19.93","19.85","1.20K","-0.68%"
"05/20/2020","19.99","19.89","19.99","19.88","13.82K","0.34%"
"05/19/2020","19.92","19.94","19.95","19.84","11.92K","-0.20%"
"05/18/2020","19.96","19.89","19.98","19.89","5.04K","0.95%"
"05/15/2020","19.77","19.75","19.80","19.74","1.55K","0.24%"
"05/14/2020","19.73","19.65","19.73","19.59","12.13K","0.73%"
"05/13/2020","19.58","19.62","19.62","19.53","50.34K","-0.21%"
"05/12/2020","19.62","19.73","19.73","19.62","1.91K","-0.42%"
"05/11/2020","19.71","19.65","19.71","19.65","2.16K","0.39%"
"05/08/2020","19.63","19.71","19.79","19.63","6.71K","-0.21%"
"05/07/2020","19.67","19.63","19.69","19.61","3.55K","0.72%"
"05/06/2020","19.53","19.56","19.57","19.50","2.66K","-0.37%"
"05/05/2020","19.60","19.57","19.62","19.57","1.30K","0.78%"
"05/04/2020","19.45","19.46","19.53","19.40","7.90K","-0.17%"
"05/01/2020","19.48","19.43","19.48","19.36","6.06K","0.25%"
"04/30/2020","19.43","19.42","19.45","19.42","1.69K","-0.71%"
"04/29/2020","19.57","19.50","19.57","19.50","1.49K","0.95%"
"04/28/2020","19.39","19.39","19.39","19.16","21.57K","0.83%"
"04/27/2020","19.23","19.48","19.48","19.23","2.03K","-1.11%"
"04/24/2020","19.44","19.47","19.47","19.39","0.93K","1.51%"
"04/23/2020","19.16","19.20","19.23","19.16","1.78K","0.47%"
"04/22/2020","19.07","19.19","19.20","19.05","1.29K","-1.12%"
"04/21/2020","19.28","19.00","19.32","19.00","22.87K","1.01%"
"04/20/2020","19.09","19.08","19.10","19.01","7.49K","-0.25%"
"04/17/2020","19.14","19.17","19.17","19.07","1.28K","0.45%"
"04/16/2020","19.05","19.05","19.05","19.05","0.47K","-0.64%"
"04/15/2020","19.17","19.18","19.25","19.08","3.50K","0.16%"
"04/14/2020","19.14","19.23","19.24","19.04","13.35K","0.00%"
"04/13/2020","19.14","19.18","19.18","19.14","2.23K","0.00%"
"04/09/2020","19.14","19.18","19.18","19.14","1.38K","0.42%"
"04/08/2020","19.06","18.95","19.06","18.90","2.21K","0.42%"
"04/07/2020","18.98","18.95","19.12","18.94","8.82K","-0.39%"
"04/06/2020","19.06","19.04","19.11","19.04","9.76K","0.71%"
"04/03/2020","18.92","18.81","19.25","18.81","2.89K","0.24%"
"04/02/2020","18.88","18.68","19.05","18.68","3.40K","0.67%"
"04/01/2020","18.75","19.00","19.00","18.75","17.21K","-1.61%"
"03/31/2020","19.06","19.17","19.17","19.06","1.19K","-0.72%"
"03/30/2020","19.19","19.13","19.29","19.13","22.41K","-0.29%"
"03/27/2020","19.25","19.16","19.26","19.12","84.89K","-0.13%"
"03/26/2020","19.27","19.28","19.34","19.12","8.08K","0.71%"
"03/25/2020","19.14","19.36","19.38","19.14","21.44K","-0.29%"
"03/24/2020","19.19","19.19","19.19","19.19","0.02K","-0.13%"
"03/23/2020","19.22","19.21","19.30","19.11","27.86K","0.73%"
"03/20/2020","19.08","18.98","19.37","18.98","50.74K","0.16%"
"03/19/2020","19.05","19.18","19.18","18.97","10.57K","-1.63%"
"03/18/2020","19.36","19.41","19.43","19.27","12.40K","-0.97%"
"03/17/2020","19.56","19.66","19.66","19.56","1.99K","-1.01%"
"03/16/2020","19.75","19.67","19.77","19.67","42.46K","-0.05%"
"03/13/2020","19.76","19.76","19.76","19.76","0.10K","-0.05%"
"03/12/2020","19.77","19.65","19.78","19.60","5.48K","-0.98%"
"03/11/2020","19.97","20.07","20.07","19.95","21.64K","-0.40%"
"03/10/2020","20.05","20.05","20.07","19.97","18.82K","0.00%"
"03/09/2020","20.05","20.24","20.24","20.05","37.03K","-1.40%"
"03/06/2020","20.33","20.35","20.37","20.33","2.31K","-0.22%"
"03/05/2020","20.38","20.34","20.40","20.33","5.10K","0.14%"
"03/04/2020","20.35","20.39","20.40","20.35","9.88K","0.17%"
"03/03/2020","20.32","20.34","20.36","20.27","1.78K","0.32%"
"03/02/2020","20.25","20.24","20.30","20.23","47.58K","0.22%"
"02/28/2020","20.20","20.68","20.68","20.15","71.81K","-0.05%"
"02/27/2020","20.22","20.23","20.23","20.21","1.28K","-0.10%"
"02/26/2020","20.24","20.25","20.25","20.24","0.40K","-0.17%"
"02/25/2020","20.27","20.28","20.32","20.26","31.38K","-0.09%"
"02/24/2020","20.29","20.28","20.30","20.27","26.68K","0.14%"
"02/21/2020","20.26","20.30","20.30","20.26","14.28K","0.17%"
"02/20/2020","20.23","20.22","20.23","20.22","1.18K","0.09%"
"02/19/2020","20.21","20.21","20.23","20.19","18.49K","0.08%"
"02/18/2020","20.19","20.24","20.24","20.18","30.60K","-0.07%"
"02/14/2020","20.20","20.20","20.24","20.17","18.47K","0.07%"
"02/13/2020","20.19","20.22","20.24","20.19","15.24K","0.09%"
"02/12/2020","20.17","20.21","20.22","20.13","6.75K","-0.14%"
"02/11/2020","20.20","20.17","20.20","20.17","1.82K","0.05%"
"02/10/2020","20.19","20.20","20.22","20.19","21.39K","0.12%"
"02/07/2020","20.17","20.14","20.20","20.14","15.96K","-0.07%"
"02/06/2020","20.18","20.15","20.21","20.12","10.28K","0.00%"
"02/05/2020","20.18","20.17","20.19","20.17","24.98K","0.13%"
"02/04/2020","20.15","20.10","20.23","20.07","26.94K","0.00%"
"02/03/2020","20.15","20.11","20.17","20.11","13.70K","0.00%"
"01/31/2020","20.15","20.19","20.20","20.15","7.54K","0.05%"
"01/30/2020","20.14","20.16","20.20","20.14","23.04K","-0.09%"
"01/29/2020","20.15","20.16","20.17","20.14","2.92K","0.12%"
"01/28/2020","20.13","20.13","20.13","20.11","0.30K","0.20%"
"01/27/2020","20.09","20.08","20.13","20.08","5.96K","0.02%"
"01/24/2020","20.08","20.10","20.12","20.08","2.64K","0.12%"
"01/23/2020","20.06","20.09","20.10","20.06","1.61K","-0.20%"
"01/22/2020","20.10","20.12","20.17","20.04","21.61K","0.05%"
"01/21/2020","20.09","22.08","22.08","20.08","20.81K","0.02%"
"01/17/2020","20.08","20.09","20.11","20.08","17.24K","0.00%"
"01/16/2020","20.08","20.10","20.11","20.08","24.28K","0.05%"
"01/15/2020","20.07","20.10","20.10","20.07","9.94K","0.00%"
"01/14/2020","20.07","20.05","20.09","20.05","19.15K","0.05%"
"01/13/2020","20.06","20.07","20.07","20.05","3.23K","-0.02%"
"01/10/2020","20.07","20.05","20.14","20.05","18.60K","0.00%"
"01/09/2020","20.07","20.09","20.09","20.07","0.62K","0.00%"
"01/08/2020","20.07","20.12","20.17","20.07","22.34K","-0.25%"
"01/07/2020","20.12","20.05","20.16","20.05","26.70K","0.55%"
"01/06/2020","20.01","20.06","20.06","19.99","24.68K","-0.30%"
"01/03/2020","20.07","20.10","20.10","20.07","41.05K","-0.10%"
"01/02/2020","20.09","20.08","20.27","20.03","54.70K","-0.05%"
"12/31/2019","20.10","20.11","20.15","20.09","88.90K","0.02%"